Model,Precision,Recall,F-1,level
TeKET,0.2522522522522523,0.11642411642411642,0.1593172119487909,1
YAKE,0.28378378378378377,0.13097713097713098,0.17923186344238975,1
IFTDF,0.25675675675675674,0.11850311850311851,0.1621621621621621,1
TR,0.22072072072072066,0.10187110187110186,0.139402560455192,1
PR,0.058558558558558564,0.02702702702702702,0.03698435277382645,1
TeKET,0.08471910112359553,0.03906655142610192,0.05347263289309406,2
YAKE,0.08164794007490637,0.03768366464995671,0.0515671200473092,2
IFTDF,0.07827715355805245,0.03612791702679337,0.04943820224719095,2
TR,0.06404494382022478,0.029559204840103666,0.040449438202247126,2
PR,0.007490636704119848,0.0034572169403630066,0.004730928444707272,2
TeKET,0.017642668503846697,0.00809507406131596,0.011091556117706187,3
YAKE,0.015357675967390108,0.007088158138795453,0.009699584821509592,3
IFTDF,0.013061201056378459,0.006028246641405447,0.008249179614554868,3
TR,0.01650591342289593,0.007618113887490459,0.010424787424986962,3
PR,0.0007463543460787689,0.00034447123665173944,0.0004713816922602749,3
