model,Precision,Recall,F-1,level
TeKET,0.25225225225225223,0.11642411642411642,0.15931721194879087,1
YAKE,0.28378378378378377,0.13097713097713098,0.1792318634423898,1
TR,0.22072072072072074,0.10187110187110188,0.13940256045519198,1
IFTDF,0.25675675675675674,0.11850311850311854,0.16216216216216214,1
PR,0.05855855855855856,0.02702702702702703,0.03698435277382645,1
TeKET,0.08471910112359549,0.039066551426101916,0.05347263289309406,2
YAKE,0.0816479400749064,0.037683664649956726,0.0515671200473092,2
TR,0.06404494382022477,0.029559204840103662,0.040449438202247154,2
IFTDF,0.07827715355805245,0.03612791702679337,0.04943820224719094,2
PR,0.0074906367041198485,0.0034572169403630066,0.004730928444707272,2
TeKET,0.017642668503846697,0.008095074061315958,0.011091556117706187,3
YAKE,0.015357675967390107,0.007088158138795451,0.009699584821509592,3
TR,0.016505913422895934,0.007618113887490462,0.010424787424986965,3
IFTDF,0.01306120105637845,0.006028246641405447,0.00824917961455487,3
PR,0.0007463543460787689,0.00034447123665173944,0.0004713816922602749,3
